suburb,Area
CITY,City
INDOOROOPILLY,Western Suburb
MILTON,Western Suburb
BOWEN HILLS,City
TOOWONG,Western Suburb
ALBION,Northern Suburb
HENDRA,Northern Suburb
ZILLMERE,Northern Suburb
CHERMSIDE,Northern Suburb
ST LUCIA,Western Suburb
RED HILL,Inner North
STAFFORD HEIGHTS,Northern Suburb
AUCHENFLOWER,Western Suburb
HAMILTON,Inner East
NEWSTEAD,City
WINDSOR,Inner North
WILSTON,Inner North
KEPERRA,Northern Suburb
THE GAP,Western Suburb
STAFFORD,Northern Suburb
GEEBUNG,Northern Suburb
WAVELL HEIGHTS,Northern Suburb
SPRING HILL,Inner North
SPRINGHILL,Inner North
NORTHGATE,Northern Suburb
MCDOWALL,Northern Suburb
WOOLOOWIN,Northern Suburb
ASPLEY,Northern Suburb
TAIGUM,Northern Suburb
YERONGA,Inner South
INALA,Southern Suburb
WOOLOONGABBA,Northern Suburb
SOUTH BRISBANE,Inner South
ROCKLEA,Southern Suburb
CHELMER,Western Suburb
GREENSLOPES,Inner South
COOPERS PLAINS,Southern Suburb
DUTTON PARK,Inner South
FAIRFIELD,Inner South
ACACIA RIDGE,Southern Suburb
MT GRAVATT,Southern Suburb
MANLY WEST,Bayside 
SUNNYBANK HILLS,Southern Suburb
OXLEY,Western Suburb
MANSFIELD,Southern Suburb
ROCHEDALE RD,Southern Suburb
CALAMVALE,Southern Suburb
CARINA,Inner South
MOUNT GRAVATT,Southern Suburb
ANNERLEY,Inner South
GUMDALE,Eastern Suburb
MOOROOKA,Southern Suburb
COORPAROO,Inner South
CARINDALE,Southern Suburb
KANGAROO POINT,Inner South
STRETTON,Southern Suburb
DURACK,Southern Suburb
SUNNYBANK,Southern Suburb
TINGALPA,Eastern Suburb
FOREST LAKE,Southern Suburb
UPPER MT. GRAVATT,Southern Suburb
UPPER MT. GRAVAT,Southern Suburb
NORMAN PARK,Inner East
TARRAGINDI,Inner South
TARRANGINDI,Inner South
EIGHT MILE PLAINS,Southern Suburb
UNDERWOOD,Southern Suburb
WAKERLEY,Eastern Suburb
WACOL,Southern Suburb
MT OMMANEY,Western Suburb
SEVENTEEN MILE ROCKS,Southern Suburb
WYNNUM,Bayside 
JINDALEE,Western Suburb
WYNNUM WEST,Bayside 
BULIMBA,Inner East
WOOLLOONGABBA,Inner South
CANNON HILL,Inner East
ASHGROVE,Inner North
BALDHILL,Northern Suburb
SANDGATE,Bayside 
BRIDGEMAN DOWNS,Northern Suburb
HERSTON,Inner North
NUDGEE,Northern Suburb
ENOGGERA,Inner North
Brighton,Bayside 
Shorncliffe,Bayside 
Lota,Bayside 
Lytton,Bayside 
